#,Date,"Abs Pres, kPa (LGR S/N: 1094066, SEN S/N: 1094066)","Temp, °C (LGR S/N: 1094066, SEN S/N: 1094066)","Abs Pres Barom., kPa (LGR S/N: 21132118, SEN S/N: 21132118)",Sensor_Depth
152,11/16/2023 23:45,108.133,19.282,101.89,0.638
153,11/17/2023 0:00,108.115,19.282,101.885,0.636
154,11/17/2023 0:15,108.098,19.282,101.879,0.635
155,11/17/2023 0:30,108.115,19.282,101.862,0.639
156,11/17/2023 0:45,108.115,19.282,101.856,0.639
157,11/17/2023 1:00,108.098,19.282,101.856,0.638
158,11/17/2023 1:15,108.098,19.282,101.839,0.639
159,11/17/2023 1:30,108.081,19.282,101.84,0.638
160,11/17/2023 1:45,108.081,19.282,101.839,0.638
161,11/17/2023 2:00,108.064,19.282,101.844,0.635
162,11/17/2023 2:15,108.081,19.282,101.839,0.638
163,11/17/2023 2:30,108.064,19.282,101.806,0.639
164,11/17/2023 2:45,108.047,19.282,101.8,0.638
165,11/17/2023 3:00,108.047,19.282,101.788,0.639
166,11/17/2023 3:15,108.03,19.282,101.777,0.639
167,11/17/2023 3:30,108.013,19.282,101.755,0.639
168,11/17/2023 3:45,107.996,19.282,101.711,0.642
169,11/17/2023 4:00,107.979,19.282,101.718,0.64
170,11/17/2023 4:15,107.962,19.282,101.72,0.638
171,11/17/2023 4:30,107.996,19.282,101.771,0.636
172,11/17/2023 4:45,107.979,19.282,101.76,0.635
173,11/17/2023 5:00,107.979,19.282,101.766,0.635
174,11/17/2023 5:15,107.945,19.282,101.738,0.634
175,11/17/2023 5:30,107.945,19.282,101.722,0.636
176,11/17/2023 5:45,107.911,19.282,101.716,0.633
177,11/17/2023 6:00,107.876,19.282,101.678,0.633
178,11/17/2023 6:15,107.859,19.282,101.639,0.635
179,11/17/2023 6:30,107.859,19.282,101.611,0.638
180,11/17/2023 6:45,107.842,19.282,101.622,0.635
181,11/17/2023 7:00,107.859,19.282,101.633,0.636
182,11/17/2023 7:15,107.894,19.282,101.643,0.639
183,11/17/2023 7:30,107.876,19.282,101.638,0.637
184,11/17/2023 7:45,107.876,19.282,101.661,0.635
185,11/17/2023 8:00,107.894,19.282,101.694,0.633
186,11/17/2023 8:15,107.894,19.282,101.724,0.63
187,11/17/2023 8:30,107.876,19.282,101.752,0.626
188,11/17/2023 8:45,107.859,19.282,101.765,0.623
189,11/17/2023 9:00,107.859,19.282,101.791,0.62
190,11/17/2023 9:15,107.825,19.282,101.853,0.61
191,11/17/2023 9:30,107.808,19.282,101.892,0.604
192,11/17/2023 9:45,107.842,19.282,101.921,0.605
193,11/17/2023 10:00,107.808,19.282,101.904,0.603
194,11/17/2023 10:15,107.757,19.282,101.836,0.605
195,11/17/2023 10:30,107.706,19.282,101.783,0.605
196,11/17/2023 10:45,107.706,19.282,101.779,0.606
197,11/17/2023 11:00,107.689,19.282,101.76,0.606
198,11/17/2023 11:15,107.672,19.282,101.776,0.602
199,11/17/2023 11:30,107.62,19.282,101.731,0.602
200,11/17/2023 11:45,107.586,19.282,101.691,0.602
201,11/17/2023 12:00,107.552,19.282,101.659,0.602
202,11/17/2023 12:15,107.552,19.282,101.628,0.605
203,11/17/2023 12:30,107.484,19.282,101.616,0.6
204,11/17/2023 12:45,107.463,19.187,101.56,0.603
205,11/17/2023 13:00,107.429,19.187,101.542,0.601
206,11/17/2023 13:15,107.399,19.282,101.5,0.603
207,11/17/2023 13:30,107.361,19.187,101.483,0.601
208,11/17/2023 13:45,107.344,19.187,101.433,0.604
209,11/17/2023 14:00,107.327,19.187,101.434,0.602
210,11/17/2023 14:15,107.327,19.187,101.414,0.604
211,11/17/2023 14:30,107.31,19.187,101.397,0.604
212,11/17/2023 14:45,107.276,19.187,101.383,0.602
213,11/17/2023 15:00,107.276,19.187,101.37,0.603
214,11/17/2023 15:15,107.259,19.187,101.353,0.603
215,11/17/2023 15:30,107.259,19.187,101.305,0.608
216,11/17/2023 15:45,107.259,19.187,101.289,0.61
217,11/17/2023 16:00,107.224,19.187,101.293,0.606
218,11/17/2023 16:15,107.259,19.187,101.304,0.608
219,11/17/2023 16:30,107.242,19.187,101.272,0.61
220,11/17/2023 16:45,107.224,19.187,101.259,0.609
221,11/17/2023 17:00,107.207,19.187,101.238,0.61
222,11/17/2023 17:15,107.242,19.187,101.231,0.614
223,11/17/2023 17:30,107.242,19.187,101.231,0.614
224,11/17/2023 17:45,107.224,19.187,101.235,0.612
225,11/17/2023 18:00,107.224,19.187,101.22,0.613
226,11/17/2023 18:15,107.19,19.187,101.19,0.613
227,11/17/2023 18:30,107.19,19.187,101.162,0.616
228,11/17/2023 18:45,107.173,19.187,101.131,0.617
229,11/17/2023 19:00,107.139,19.187,101.123,0.615
230,11/17/2023 19:15,107.139,19.187,101.092,0.618
231,11/17/2023 19:30,107.122,19.187,101.095,0.616
232,11/17/2023 19:45,107.139,19.187,101.091,0.618
233,11/17/2023 20:00,107.105,19.187,101.065,0.617
234,11/17/2023 20:15,107.105,19.187,101.065,0.617
235,11/17/2023 20:30,107.071,19.187,101.032,0.617
236,11/17/2023 20:45,107.071,19.187,101.027,0.617
237,11/17/2023 21:00,107.037,19.187,100.975,0.619
238,11/17/2023 21:15,107.02,19.187,100.966,0.619
239,11/17/2023 21:30,106.969,19.187,100.922,0.618
240,11/17/2023 21:45,106.951,19.187,100.909,0.617
241,11/17/2023 22:00,106.986,19.187,100.913,0.62
242,11/17/2023 22:15,106.969,19.187,100.924,0.618
243,11/17/2023 22:30,106.969,19.187,100.909,0.619
244,11/17/2023 22:45,106.951,19.187,100.889,0.619
245,11/17/2023 23:00,106.951,19.187,100.887,0.62
246,11/17/2023 23:15,106.969,19.187,100.905,0.62
247,11/17/2023 23:30,106.969,19.187,100.911,0.619
248,11/17/2023 23:45,106.951,19.187,100.9,0.618
249,11/18/2023 0:00,106.917,19.187,100.863,0.619
250,11/18/2023 0:15,106.883,19.187,100.827,0.619
251,11/18/2023 0:30,106.883,19.187,100.785,0.623
252,11/18/2023 0:45,106.849,19.187,100.781,0.62
253,11/18/2023 1:00,106.815,19.187,100.763,0.618
254,11/18/2023 1:15,106.832,19.187,100.768,0.62
255,11/18/2023 1:30,106.798,19.187,100.757,0.617
256,11/18/2023 1:45,106.798,19.187,100.708,0.622
257,11/18/2023 2:00,106.781,19.187,100.686,0.623
258,11/18/2023 2:15,106.747,19.187,100.647,0.623
259,11/18/2023 2:30,106.713,19.187,100.66,0.618
260,11/18/2023 2:45,106.713,19.187,100.637,0.621
261,11/18/2023 3:00,106.713,19.187,100.615,0.623
262,11/18/2023 3:15,106.695,19.187,100.6,0.623
263,11/18/2023 3:30,106.661,19.187,100.578,0.621
264,11/18/2023 3:45,106.661,19.187,100.606,0.619
265,11/18/2023 4:00,106.661,19.187,100.558,0.624
266,11/18/2023 4:15,106.644,19.187,100.54,0.624
267,11/18/2023 4:30,106.593,19.187,100.514,0.621
268,11/18/2023 4:45,106.61,19.187,100.531,0.621
269,11/18/2023 5:00,106.593,19.187,100.498,0.623
270,11/18/2023 5:15,106.61,19.187,100.511,0.623
271,11/18/2023 5:30,106.627,19.187,100.512,0.625
272,11/18/2023 5:45,106.61,19.187,100.503,0.624
273,11/18/2023 6:00,106.627,19.187,100.5,0.626
274,11/18/2023 6:15,106.644,19.187,100.522,0.625
275,11/18/2023 6:30,106.627,19.187,100.509,0.625
276,11/18/2023 6:45,106.678,19.187,100.558,0.625
277,11/18/2023 7:00,106.713,19.187,100.591,0.625
278,11/18/2023 7:15,106.73,19.187,100.621,0.624
279,11/18/2023 7:30,106.709,19.092,100.63,0.621
280,11/18/2023 7:45,106.726,19.092,100.63,0.623
281,11/18/2023 8:00,106.764,19.187,100.683,0.621
282,11/18/2023 8:15,106.747,19.187,100.671,0.621
283,11/18/2023 8:30,106.747,19.187,100.699,0.618
284,11/18/2023 8:45,106.743,19.092,100.697,0.618
285,11/18/2023 9:00,106.747,19.187,100.744,0.613
286,11/18/2023 9:15,106.76,19.092,100.836,0.605
287,11/18/2023 9:30,106.76,19.092,100.874,0.601
288,11/18/2023 9:45,106.76,19.092,100.857,0.603
289,11/18/2023 10:00,106.777,19.092,100.861,0.604
290,11/18/2023 10:15,106.777,19.092,100.848,0.606
291,11/18/2023 10:30,106.76,19.092,100.833,0.606
292,11/18/2023 10:45,106.76,19.092,100.812,0.608
293,11/18/2023 11:00,106.76,19.092,100.817,0.607
294,11/18/2023 11:15,106.76,19.092,100.852,0.604
295,11/18/2023 11:30,106.726,19.092,100.836,0.602
296,11/18/2023 11:45,106.743,19.092,100.806,0.607
297,11/18/2023 12:00,106.692,19.092,100.779,0.604
298,11/18/2023 12:15,106.675,19.092,100.79,0.601
299,11/18/2023 12:30,106.658,19.092,100.758,0.603
300,11/18/2023 12:45,106.658,19.092,100.763,0.602
301,11/18/2023 13:00,106.641,19.092,100.761,0.601
302,11/18/2023 13:15,106.658,19.092,100.776,0.601
303,11/18/2023 13:30,106.675,19.092,100.771,0.603
304,11/18/2023 13:45,106.675,19.092,100.785,0.602
305,11/18/2023 14:00,106.692,19.092,100.777,0.604
306,11/18/2023 14:15,106.709,19.092,100.754,0.608
307,11/18/2023 14:30,106.709,19.092,100.793,0.604
308,11/18/2023 14:45,106.709,19.092,100.802,0.603
309,11/18/2023 15:00,106.726,19.092,100.784,0.607
310,11/18/2023 15:15,106.743,19.092,100.75,0.612
311,11/18/2023 15:30,106.76,19.092,100.774,0.612
312,11/18/2023 15:45,106.777,19.092,100.788,0.612
313,11/18/2023 16:00,106.795,19.092,100.775,0.615
314,11/18/2023 16:15,106.829,19.092,100.817,0.614
315,11/18/2023 16:30,106.812,19.092,100.825,0.612
316,11/18/2023 16:45,106.846,19.092,100.837,0.614
317,11/18/2023 17:00,106.863,19.092,100.852,0.614
318,11/18/2023 17:15,106.897,19.092,100.863,0.616
319,11/18/2023 17:30,106.914,19.092,100.881,0.616
320,11/18/2023 17:45,106.914,19.092,100.887,0.616
321,11/18/2023 18:00,106.965,19.092,100.907,0.619
322,11/18/2023 18:15,106.982,19.092,100.941,0.617
323,11/18/2023 18:30,106.999,19.092,100.957,0.617
324,11/18/2023 18:45,107.051,19.092,100.968,0.621
325,11/18/2023 19:00,107.068,19.092,100.995,0.62
326,11/18/2023 19:15,107.085,19.092,100.97,0.625
327,11/18/2023 19:30,107.085,19.092,100.977,0.624
328,11/18/2023 19:45,107.085,19.092,100.96,0.626
329,11/18/2023 20:00,107.102,19.092,100.972,0.626
330,11/18/2023 20:15,107.119,19.092,100.957,0.63
331,11/18/2023 20:30,107.136,19.092,100.976,0.629
332,11/18/2023 20:45,107.153,19.092,100.984,0.63
333,11/18/2023 21:00,107.17,19.092,100.985,0.632
334,11/18/2023 21:15,107.187,19.092,100.962,0.636
335,11/18/2023 21:30,107.221,19.092,100.972,0.638
336,11/18/2023 21:45,107.238,19.092,100.987,0.639
337,11/18/2023 22:00,107.255,19.092,100.996,0.639
338,11/18/2023 22:15,107.272,19.092,100.993,0.641
339,11/18/2023 22:30,107.272,19.092,101.015,0.639
340,11/18/2023 22:45,107.289,19.092,101.019,0.641
341,11/18/2023 23:00,107.324,19.092,101.022,0.644
342,11/18/2023 23:15,107.341,19.092,101.046,0.643
343,11/18/2023 23:30,107.341,19.092,101.056,0.642
344,11/18/2023 23:45,107.375,19.092,101.057,0.645
345,11/19/2023 0:00,107.341,19.092,101.024,0.645
346,11/19/2023 0:15,107.341,19.092,100.996,0.648
347,11/19/2023 0:30,107.358,19.092,101.002,0.649
348,11/19/2023 0:45,107.358,19.092,100.986,0.651
349,11/19/2023 1:00,107.358,19.092,100.966,0.653
350,11/19/2023 1:15,107.358,19.092,100.963,0.653
351,11/19/2023 1:30,107.375,19.092,100.99,0.652
352,11/19/2023 1:45,107.409,19.092,101.001,0.655
353,11/19/2023 2:00,107.409,19.092,101.005,0.654
354,11/19/2023 2:15,107.409,19.092,101.025,0.652
355,11/19/2023 2:30,107.426,19.092,101.025,0.654
356,11/19/2023 2:45,107.426,19.092,101.029,0.654
357,11/19/2023 3:00,107.46,19.092,101.047,0.655
358,11/19/2023 3:15,107.443,19.092,101.04,0.654
359,11/19/2023 3:30,107.46,19.092,101.041,0.656
360,11/19/2023 3:45,107.443,19.092,101.023,0.656
361,11/19/2023 4:00,107.443,19.092,101.034,0.655
362,11/19/2023 4:15,107.443,19.092,101.026,0.656
363,11/19/2023 4:30,107.426,19.092,101.012,0.655
364,11/19/2023 4:45,107.426,19.092,101.02,0.654
365,11/19/2023 5:00,107.477,19.092,101.024,0.659
366,11/19/2023 5:15,107.494,19.092,101.02,0.661
367,11/19/2023 5:30,107.477,19.092,101.038,0.658
368,11/19/2023 5:45,107.494,19.092,101.038,0.66
369,11/19/2023 6:00,107.528,19.092,101.067,0.66
370,11/19/2023 6:15,107.562,19.092,101.066,0.664
371,11/19/2023 6:30,107.562,19.092,101.08,0.662
372,11/19/2023 6:45,107.597,19.092,101.097,0.664
373,11/19/2023 7:00,107.597,19.092,101.101,0.664
374,11/19/2023 7:15,107.614,19.092,101.141,0.661
375,11/19/2023 7:30,107.631,19.092,101.149,0.662
376,11/19/2023 7:45,107.627,18.996,101.164,0.66
377,11/19/2023 8:00,107.644,18.996,101.177,0.661
378,11/19/2023 8:15,107.662,18.996,101.224,0.658
379,11/19/2023 8:30,107.696,18.996,101.336,0.65
380,11/19/2023 8:45,107.73,18.996,101.422,0.644
381,11/19/2023 9:00,107.764,18.996,101.506,0.639
382,11/19/2023 9:15,107.781,18.996,101.603,0.631
383,11/19/2023 9:30,107.781,18.996,101.742,0.617
384,11/19/2023 9:45,107.798,18.996,101.757,0.617
385,11/19/2023 10:00,107.815,18.996,101.765,0.618
386,11/19/2023 10:15,107.832,18.996,101.749,0.621
387,11/19/2023 10:30,107.815,18.996,101.753,0.619
388,11/19/2023 10:45,107.815,18.996,101.734,0.621
389,11/19/2023 11:00,107.815,18.996,101.742,0.62
390,11/19/2023 11:15,107.781,18.996,101.786,0.612
391,11/19/2023 11:30,107.781,18.996,101.794,0.612
392,11/19/2023 11:45,107.73,18.996,101.717,0.614
393,11/19/2023 12:00,107.713,18.996,101.699,0.614
394,11/19/2023 12:15,107.713,18.996,101.697,0.615
395,11/19/2023 12:30,107.679,18.996,101.675,0.613
396,11/19/2023 12:45,107.696,18.996,101.683,0.614
397,11/19/2023 13:00,107.662,18.996,101.76,0.603
398,11/19/2023 13:15,107.644,18.996,101.774,0.6
399,11/19/2023 13:30,107.627,18.996,101.755,0.6
400,11/19/2023 13:45,107.61,18.996,101.75,0.599
401,11/19/2023 14:00,107.593,18.996,101.746,0.597
402,11/19/2023 14:15,107.61,18.996,101.73,0.601
403,11/19/2023 14:30,107.593,18.996,101.72,0.6
404,11/19/2023 14:45,107.593,18.996,101.73,0.599
405,11/19/2023 15:00,107.576,18.996,101.661,0.604
406,11/19/2023 15:15,107.593,18.996,101.582,0.614
407,11/19/2023 15:30,107.61,18.996,101.552,0.619
408,11/19/2023 15:45,107.61,18.996,101.638,0.61
409,11/19/2023 16:00,107.61,18.996,101.661,0.608
410,11/19/2023 16:15,107.627,18.996,101.591,0.617
411,11/19/2023 16:30,107.644,18.996,101.564,0.621
412,11/19/2023 16:45,107.644,18.996,101.509,0.627
413,11/19/2023 17:00,107.627,18.996,101.463,0.63
414,11/19/2023 17:15,107.662,18.996,101.44,0.636
415,11/19/2023 17:30,107.679,18.996,101.431,0.638
416,11/19/2023 17:45,107.696,18.996,101.411,0.642
417,11/19/2023 18:00,107.713,18.996,101.413,0.644
418,11/19/2023 18:15,107.73,18.996,101.41,0.646
419,11/19/2023 18:30,107.747,18.996,101.417,0.647
420,11/19/2023 18:45,107.747,18.996,101.42,0.646
421,11/19/2023 19:00,107.764,18.996,101.411,0.649
422,11/19/2023 19:15,107.781,18.996,101.419,0.65
423,11/19/2023 19:30,107.798,18.996,101.439,0.65
424,11/19/2023 19:45,107.798,18.996,101.44,0.65
425,11/19/2023 20:00,107.832,18.996,101.46,0.651
426,11/19/2023 20:15,107.849,18.996,101.446,0.654
427,11/19/2023 20:30,107.832,18.996,101.439,0.653
428,11/19/2023 20:45,107.832,18.996,101.436,0.653
429,11/19/2023 21:00,107.849,18.996,101.451,0.654
430,11/19/2023 21:15,107.883,18.996,101.458,0.656
431,11/19/2023 21:30,107.901,18.996,101.473,0.657
432,11/19/2023 21:45,107.935,18.996,101.492,0.658
433,11/19/2023 22:00,107.935,18.996,101.495,0.658
434,11/19/2023 22:15,107.935,18.996,101.506,0.657
435,11/19/2023 22:30,107.952,18.996,101.51,0.658
436,11/19/2023 22:45,107.969,18.996,101.503,0.661
437,11/19/2023 23:00,107.986,18.996,101.528,0.66
438,11/19/2023 23:15,107.986,18.996,101.517,0.661
439,11/19/2023 23:30,107.986,18.996,101.499,0.663
440,11/19/2023 23:45,108.003,18.996,101.513,0.663
441,11/20/2023 0:00,108.003,18.996,101.517,0.663
442,11/20/2023 0:15,108.003,18.996,101.502,0.664
443,11/20/2023 0:30,108.003,18.996,101.527,0.662
444,11/20/2023 0:45,108.02,18.996,101.516,0.664
445,11/20/2023 1:00,107.986,18.996,101.516,0.661
446,11/20/2023 1:15,107.986,18.996,101.538,0.659
447,11/20/2023 1:30,108.02,18.996,101.542,0.662
448,11/20/2023 1:45,108.02,18.996,101.534,0.663
449,11/20/2023 2:00,108.054,18.996,101.548,0.665
450,11/20/2023 2:15,108.037,18.996,101.53,0.665
451,11/20/2023 2:30,108.071,18.996,101.563,0.665
452,11/20/2023 2:45,108.088,18.996,101.569,0.666
453,11/20/2023 3:00,108.071,18.996,101.58,0.663
454,11/20/2023 3:15,108.088,18.996,101.577,0.665
455,11/20/2023 3:30,108.122,18.996,101.602,0.666
456,11/20/2023 3:45,108.105,18.996,101.597,0.665
457,11/20/2023 4:00,108.105,18.996,101.6,0.665
458,11/20/2023 4:15,108.122,18.996,101.606,0.666
459,11/20/2023 4:30,108.122,18.996,101.628,0.663
460,11/20/2023 4:45,108.157,18.996,101.639,0.666
461,11/20/2023 5:00,108.191,18.996,101.634,0.67
462,11/20/2023 5:15,108.191,18.996,101.67,0.666
463,11/20/2023 5:30,108.225,18.996,101.7,0.667
464,11/20/2023 5:45,108.208,18.996,101.703,0.665
465,11/20/2023 6:00,108.225,18.996,101.673,0.669
466,11/20/2023 6:15,108.259,18.996,101.709,0.669
467,11/20/2023 6:30,108.276,18.996,101.722,0.67
468,11/20/2023 6:45,108.31,18.996,101.764,0.669
469,11/20/2023 7:00,108.344,18.996,101.785,0.67
470,11/20/2023 7:15,108.361,18.996,101.851,0.665
471,11/20/2023 7:30,108.396,18.996,101.845,0.669
472,11/20/2023 7:45,108.396,18.996,101.86,0.668
473,11/20/2023 8:00,108.396,18.996,101.87,0.667
474,11/20/2023 8:15,108.396,18.996,101.89,0.665
